Razón Social;Gpo de Cliente;ClaseDoc.;Num.Factura;Sector;Canal;Fecha.Doc;Zona.Vtas;Almacen;Denominacion Material;Cantidad UMV;UM.Vtas;Cantidad UMB;UM.Base;Prec.Unitario;Monto Neto;IVA;Importe Final;Doc.Comercial;Cond.Pago;Fec.Venc.;Moneda.Doc.;Status de Anulacion;Doc.Anulac;Grp.Vend;Vendedor;Referencia;Pedido.Vta;Jerarquía 1;Jerarquía 2;Jerarquía 3;UM.Peso;Peso.Fact;Peso.Total;Um.PesoGen;Ramo;Gr.Material;Gr.Articulo;Tipo.Cambio;Mes;Ejercicio;Prec.Unitario 2;Monto Neto 2;IVA 2;Importe Final 2;Conc.Busq;Codigo_Mat;Listas_precios;;Cod_cliente;;Ind_retcl;Ind_auto_retcl;fechahora;CodMot;Tx Motivo;CodVend;OrgVtas
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138754;Cuidado Personal;Venta Directa;20260210;Zona Occidente;3000;CHICCO BS CHAMPU CABELLO CLARO(10x400ML);1,000;CS;10,000;ST;52,50;52,50;8,40;60,90;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628326;1002065759;Chicco;400;Claro;KG;4,100;;4,100;Cadena Regional;PH-Champú;HIGIENE PERSONAL;0,00000;02;2026;52,50;52,50;8,40;60,90;COMERCIO TRADICIONAL;50001101;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138754;Cuidado Personal;Venta Directa;20260210;Zona Occidente;3000;CHICCO BS COLONIA (28x100ML);1,000;CS;28,000;ST;55,86;55,86;8,94;64,80;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628326;1002065759;Chicco;100;Original;KG;2,464;;2,464;Cadena Regional;PH-Colonia;HIGIENE PERSONAL;0,00000;02;2026;55,86;55,86;8,94;64,80;COMERCIO TRADICIONAL;50001011;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138754;Cuidado Personal;Venta Directa;20260210;Zona Occidente;3000;CHICCO BS COLONIA (10x220ML);2,000;CS;20,000;ST;36,38;72,75;11,64;84,39;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628326;1002065759;Chicco;220;Original;KG;3,960;;3,960;Cadena Regional;PH-Colonia;HIGIENE PERSONAL;0,00000;02;2026;36,38;72,75;11,64;84,39;COMERCIO TRADICIONAL;50000970;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138754;Cuidado Personal;Venta Directa;20260210;Zona Occidente;3000;CHICCO BS TH ORIGINAL (20x48UN);2,000;CS;40,000;PAQ;26,40;52,80;8,45;61,25;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628326;1002065759;Chicco;48;Original;KG;10,360;;10,360;Cadena Regional;PH-TH Flow Pack;TOALLAS HUMEDAS;0,00000;02;2026;26,40;52,80;8,45;61,25;COMERCIO TRADICIONAL;50000975;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138754;Absorbentes;Venta Directa;20260210;Zona Occidente;3000;SECUREZZA POST PARTO PREMIUM (12X10UN);2,000;PAK;24,000;PAQ;20,16;40,32;6,45;46,77;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628326;1002065759;Securezza;10;Anatómica;KG;2,880;;2,880;Cadena Regional;PH-Toalla Post-Parto;INCONTINENCIA;0,00000;02;2026;20,16;40,32;6,45;46,77;COMERCIO TRADICIONAL;50000632;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138754;Absorbentes;Venta Directa;20260210;Zona Occidente;3000;SECUREZZA POST PARTO (12X15UN);4,000;PAK;48,000;PAQ;24,30;97,20;15,55;112,75;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628326;1002065759;Securezza;15;Anatómica;KG;10,032;;10,032;Cadena Regional;PH-Toalla Post-Parto;INCONTINENCIA;0,00000;02;2026;24,30;97,20;15,55;112,75;COMERCIO TRADICIONAL;50001021;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138754;Absorbentes;Venta Directa;20260210;Zona Occidente;3000;SIEMPRE SECO BASICO M (6X6UN);1,000;PAK;6,000;PAQ;22,63;22,63;3,62;26,25;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628326;1002065759;Siempre Seco;6;Basico;KG;2160,000;;2160,000;Cadena Regional;PH-Protector Incont.;INCONTINENCIA;0,00000;02;2026;22,63;22,63;3,62;26,25;COMERCIO TRADICIONAL;50000639;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138754;Absorbentes;Venta Directa;20260210;Zona Occidente;3000;SIEMPRE SECO BASICO G (6X6UN);1,000;PAK;6,000;PAQ;25,02;25,02;4,00;29,02;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628326;1002065759;Siempre Seco;6;Basico;KG;2520,000;;2520,000;Cadena Regional;PH-Protector Incont.;INCONTINENCIA;0,00000;02;2026;25,02;25,02;4,00;29,02;COMERCIO TRADICIONAL;50000640;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138755;Absorbentes;Venta Directa;20260210;Zona Occidente;3000;FRIENDS PD REGULAR S/P (12X40UN);2,000;PAK;24,000;PAQ;23,91;47,81;7,65;55,46;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628327;1002065760;Friends;40;Regular;KG;1,704;;1,704;Cadena Regional;PH-Protector Diario;ABSORBENTES FEMENINA;0,00000;02;2026;23,91;47,81;7,65;55,46;COMERCIO TRADICIONAL;50001106;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138755;Absorbentes;Venta Directa;20260210;Zona Occidente;3000;FRIENDS PD LONG (24X20UN);1,000;PAK;24,000;PAQ;23,81;23,81;3,81;27,62;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628327;1002065760;Friends;20;Perfumado;KG;1,032;;1,032;Cadena Regional;PH-Protector Diario;ABSORBENTES FEMENINA;0,00000;02;2026;23,81;23,81;3,81;27,62;COMERCIO TRADICIONAL;50001169;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
