Razón Social;Gpo de Cliente;ClaseDoc.;Num.Factura;Sector;Canal;Fecha.Doc;Zona.Vtas;Almacen;Denominacion Material;Cantidad UMV;UM.Vtas;Cantidad UMB;UM.Base;Prec.Unitario;Monto Neto;IVA;Importe Final;Doc.Comercial;Cond.Pago;Fec.Venc.;Moneda.Doc.;Status de Anulacion;Doc.Anulac;Grp.Vend;Vendedor;Referencia;Pedido.Vta;Jerarquía 1;Jerarquía 2;Jerarquía 3;UM.Peso;Peso.Fact;Peso.Total;Um.PesoGen;Ramo;Gr.Material;Gr.Articulo;Tipo.Cambio;Mes;Ejercicio;Prec.Unitario 2;Monto Neto 2;IVA 2;Importe Final 2;Conc.Busq;Codigo_Mat;Listas_precios;;Cod_cliente;;Ind_retcl;Ind_auto_retcl;fechahora;CodMot;Tx Motivo;CodVend;OrgVtas
INVERSIONES MIDA, C.A;Manufactura;Fact. Nac. Ampo.;7000011920;Inyecto Soplado;Distribuidor;20251107;Zona Centro;3000;ENVASE PET TRANSP ESPECIAS 100 G;4060,000;PZA;4060,000;PZA;28,47;115589,38;18494,30;134083,68;Factura;Contado;20251107;VED;NA;;GV ClReg. Ampofr.;HORACIO HERNANDEZ;00-056447;1202009222;Especias;Transparente;100 gr.;G;60900,000;TO;0,061;Cuidado Personal;AM-Especias;ENVASES PT;228,47960;11;2025;0,12;505,91;80,95;586,85;INVERSIONE;70000080;Precio Base General;Alimentos;0010000953;17;01;X;03.12.2025 - 11:15:05;;;00120003;1200
AGUA MINERAL MIBRISA, C.A.;Embotelladoras;Fact. Nac. Proy. PET;8000020028;Preformas;Venta Directa;20251128;Zona Metropolitana;3000;PREFORMAS TRANSPARENTE 15,28 GR;52833,000;PZA;52833,000;PZA;14,60;771271,46;123403,43;894674,89;Factura;Contado;20251128;VED;NA;;GV ClReg. Proy. PET;HORACIO HERNANDEZ;00-0152138;1302007639;Short Finish;;16,5 gr.;G;807288,240;TO;0,807;Agua;PP-Preforma;PREFORMAS;245,66970;11;2025;0,06;3139,47;502,31;3641,78;BRISA;70000196;Precio Base General;Agua;0010000957;17;01;X;03.12.2025 - 11:15:05;;;00120003;1300
PEPSI-COLA VENEZUELA C.A.;Embotelladoras;Fact. Nac. Proy. PET;8000019752;Preformas;Venta Directa;20251105;Zona Metropolitana;3000;PREFORMAS TRANSPARENTE 43,90G (PCO1810);172800,000;PZA;172800,000;PZA;0,15;26778,82;4284,61;31063,43;Factura;Crédito 15 Días;20251120;USD;NA;;GV ClReg. Proy. PET;OFICINA PROYECTOS PET;00-0151842;1302007593;Long Finish;Transparente;44 gr.;G;7585920,000;TO;7,586;Agua;PP-Preforma;PREFORMAS;0,00000;11;2025;0,15;26778,82;4284,61;31063,43;PEPSI-COLA;70000321;Precio Base General;Carbonatada;0010000975;17;01;X;03.12.2025 - 11:15:05;;;00130005;1300
PEPSI-COLA VENEZUELA C.A.;Embotelladoras;Fact. Nac. Proy. PET;8000019753;Servicios;Venta Directa;20251105;Zona Metropolitana;;FLETE POR VIAJE CORTINERO;1,000;SER;1,000;SER;1495,37;1495,37;0,00;1495,37;Factura;Crédito 15 Días;20251120;USD;NA;;GV ClReg. Proy. PET;OFICINA PROYECTOS PET;00-0151843;1302007594;Servicios Administrat.;;;KG;0,000;TO;0,000;Agua;Fletes;FLETE PROD TERMINADO;0,00000;11;2025;1495,37;1495,37;0,00;1495,37;PEPSI-COLA;91000036;Precio Base General;Carbonatada;0010000975;17;01;X;03.12.2025 - 11:15:05;;;00130005;1300
PEPSI-COLA VENEZUELA C.A.;Embotelladoras;Fact. Nac. Proy. PET;8000019785;Preformas;Venta Directa;20251107;Zona Metropolitana;3000;PREFORMAS TRANSPARENTE 42,64 GR(PCO1881);189518,27;PZA;186225,00;PZA;0,12;25605,15;4950,26;34844,40;Factura;Crédito 15 Días;20251122;USD;NA;;GV ClReg. Proy. PET;OFICINA PROYECTOS PET;00-0151877;1302007600;Short Finish;Transparente;29,5 gr.;G;7368192,000;TO;7,368;Agua;PP-Preforma;PREFORMAS;0,00000;11;2025;0,17;25988,09;3877,19;31172,19;PEPSI-COLA;70000197;Precio Base General;Carbonatada;0010000975;17;01;X;03.12.2025 - 11:15:05;;;00130005;1300
PEPSI-COLA VENEZUELA C.A.;Embotelladoras;Fact. Nac. Proy. PET;8000019786;Servicios;Venta Directa;20251107;Zona Metropolitana;;FLETE POR VIAJE CORTINERO;1,000;SER;1,000;SER;750,00;750,00;0,00;750,00;Factura;Crédito 15 Días;20251122;USD;NA;;GV ClReg. Proy. PET;OFICINA PROYECTOS PET;00-0151878;1302007601;Servicios Administrat.;;;KG;0,000;TO;0,000;Agua;Fletes;FLETE PROD TERMINADO;0,00000;11;2025;750,00;750,00;0,00;750,00;PEPSI-COLA;91000036;Precio Base General;Carbonatada;0010000975;17;01;X;03.12.2025 - 11:15:05;;;00130005;1300
PEPSI-COLA VENEZUELA C.A.;Embotelladoras;Fact. Nac. Proy. PET;8000019787;Preformas;Venta Directa;20251108;Zona Metropolitana;3000;PREFORMAS TRANSPARENTE 42,64 GR(PCO1881);172800,000;PZA;172800,000;PZA;0,15;25985,66;4157,71;30143,37;Factura;Crédito 15 Días;20251123;USD;NA;;GV ClReg. Proy. PET;OFICINA PROYECTOS PET;00-0151879;1302007602;Short Finish;Transparente;29,5 gr.;G;7368192,000;TO;7,368;Agua;PP-Preforma;PREFORMAS;0,00000;11;2025;0,15;25985,66;4157,71;30143,37;PEPSICOLA;70000197;Precio Base General;Carbonatada;0010000975;17;01;X;03.12.2025 - 11:15:05;;;00130005;1300
PEPSI-COLA VENEZUELA C.A.;Embotelladoras;Fact. Nac. Proy. PET;8000019788;Servicios;Venta Directa;20251108;Zona Metropolitana;;FLETE POR VIAJE CORTINERO;1,000;SER;1,000;SER;2185,00;2185,00;0,00;2185,00;Factura;Crédito 15 Días;20251123;USD;NA;;GV ClReg. Proy. PET;OFICINA PROYECTOS PET;00-0151880;1302007603;Servicios Administrat.;;;KG;0,000;TO;0,000;Agua;Fletes;FLETE PROD TERMINADO;0,00000;11;2025;2185,00;2185,00;0,00;2185,00;PEPSICOLA;91000036;Precio Base General;Carbonatada;0010000975;17;01;X;03.12.2025 - 11:15:05;;;00130005;1300
PEPSI-COLA VENEZUELA C.A.;Embotelladoras;Fact. Nac. Proy. PET;8000019812;Preformas;Venta Directa;20251110;Zona Metropolitana;3000;PREFORMAS TRANSPARENTE 42,64 GR(PCO1881);172800,000;PZA;172800,000;PZA;0,15;25985,66;4157,71;30143,37;Factura;Crédito 15 Días;20251125;USD;NA;;GV ClReg. Proy. PET;OFICINA PROYECTOS PET;00-0151905;1302007602;Short Finish;Transparente;29,5 gr.;G;7368192,000;TO;7,368;Agua;PP-Preforma;PREFORMAS;0,00000;11;2025;0,15;25985,66;4157,71;30143,37;PEPSICOLA;70000197;Precio Base General;Carbonatada;0010000975;17;01;X;03.12.2025 - 11:15:05;;;00130005;1300
PEPSI-COLA VENEZUELA C.A.;Embotelladoras;Fact. Nac. Proy. PET;8000019813;Servicios;Venta Directa;20251110;Zona Metropolitana;;FLETE POR VIAJE CORTINERO;1,000;SER;1,000;SER;2185,00;2185,00;0,00;2185,00;Factura;Crédito 15 Días;20251125;USD;NA;;GV ClReg. Proy. PET;OFICINA PROYECTOS PET;00-0151906;1302007603;Servicios Administrat.;;;KG;0,000;TO;0,000;Agua;Fletes;FLETE PROD TERMINADO;0,00000;11;2025;2185,00;2185,00;0,00;2185,00;PEPSICOLA;91000036;Precio Base General;Carbonatada;0010000975;17;01;X;03.12.2025 - 11:15:05;;;00130005;1300
