Razón Social;Gpo de Cliente;ClaseDoc.;Num.Factura;Sector;Canal;Fecha.Doc;Zona.Vtas;Almacen;Denominacion Material;Cantidad UMV;UM.Vtas;Cantidad UMB;UM.Base;Prec.Unitario;Monto Neto;IVA;Importe Final;Doc.Comercial;Cond.Pago;Fec.Venc.;Moneda.Doc.;Status de Anulacion;Doc.Anulac;Grp.Vend;Vendedor;Referencia;Pedido.Vta;Jerarquía 1;Jerarquía 2;Jerarquía 3;UM.Peso;Peso.Fact;Peso.Total;Um.PesoGen;Ramo;Gr.Material;Gr.Articulo;Tipo.Cambio;Mes;Ejercicio;Prec.Unitario 2;Monto Neto 2;IVA 2;Importe Final 2;Conc.Busq;Codigo_Mat;Listas_precios;;Cod_cliente;;Ind_retcl;Ind_auto_retcl;fechahora;CodMot;Tx Motivo;CodVend;OrgVtas
ALIMENTOS POLAR COMERCIAL, C.A.;Manufactura;Fact. Nac. Ampo.;7000012152;Servicios;Venta Directa;20260205;Zona Metropolitana;;FLETE POR VIAJE CORTINERO;1,000;SER;1,000;SER;318,00;318,00;0,00;318,00;Factura;Crédito 15 Días;20260220;USD;NA;;GV ClReg. Ampofr.;OFICINA AMPOFRASCA;00-056696;1202009387;Servicios Administrat.;;;KG;0,000;TO;0,000;Alimentos;Fletes;FLETE PROD TERMINADO;0,00000;02;2026;318,00;318,00;0,00;318,00;MME-PULMON;91000036;Precio Base General;;0010001154;17;01;X;20.02.2026 - 22:04:07;;;00120002;1200
ALIMENTOS POLAR COMERCIAL, C.A.;Manufactura;Fact. Nac. Ampo.;7000012157;Inyecto Soplado;Venta Directa;20260207;Zona Metropolitana;3000;ENVASE PET MAYONESA 200 ML;24,000;PAL;202752,000;PZA;1411,49;33875,80;5420,13;39295,93;Factura;Crédito 15 Días;20260222;USD;NA;;GV ClReg. Ampofr.;OFICINA AMPOFRASCA;00-056701;1202009398;Especias;Transparente;200 gr.;G;3902976,000;TO;3,903;Alimentos;AM-Especias;ENVASES PT;0,00000;02;2026;1411,49;33875,80;5420,13;39295,93;GUACARA;70000666;Precio Base General;;0010001154;17;01;X;20.02.2026 - 22:04:07;;;00120002;1200
ALIMENTOS POLAR COMERCIAL, C.A.;Manufactura;Fact. Nac. Ampo.;7000012158;Servicios;Venta Directa;20260207;Zona Metropolitana;;FLETE POR VIAJE CORTINERO;1,04;SER;1,08;SER;364,17;378,46;0,00;262,63;Factura;Crédito 15 Días;20260222;USD;NA;;GV ClReg. Ampofr.;OFICINA AMPOFRASCA;00-056702;1202009387;Servicios Administrat.;;;KG;0,000;TO;0,000;Alimentos;Fletes;FLETE PROD TERMINADO;0,00000;02;2026;258,99;314,91;0,00;345,37;MME-PULMON;91000036;Precio Base General;;0010001154;17;01;X;20.02.2026 - 22:04:07;;;00120002;1200
ALIMENTOS POLAR COMERCIAL, C.A.;Manufactura;Fact. Nac. Ampo.;7000012161;Inyecto Soplado;Venta Directa;20260209;Zona Metropolitana;3000;ENVASE PET MAYONESA 200 ML;24,29;PAL;205885,70;PZA;1290,31;37995,09;6124,38;40722,47;Factura;Crédito 15 Días;20260224;USD;NA;;GV ClReg. Ampofr.;OFICINA AMPOFRASCA;00-056707;1202009401;Especias;Transparente;200 gr.;G;3902976,000;TO;3,903;Alimentos;AM-Especias;ENVASES PT;0,00000;02;2026;1261,03;34259,37;4304,78;32261,98;MME-PULMON;70000666;Precio Base General;;0010001154;17;01;X;20.02.2026 - 22:04:07;;;00120002;1200
ALIMENTOS POLAR COMERCIAL, C.A.;Manufactura;Fact. Nac. Ampo.;7000012162;Servicios;Venta Directa;20260209;Zona Metropolitana;;FLETE POR VIAJE CORTINERO;1,000;SER;1,000;SER;318,00;318,00;0,00;318,00;Factura;Crédito 15 Días;20260224;USD;NA;;GV ClReg. Ampofr.;OFICINA AMPOFRASCA;00-056708;1202009387;Servicios Administrat.;;;KG;0,000;TO;0,000;Alimentos;Fletes;FLETE PROD TERMINADO;0,00000;02;2026;318,00;318,00;0,00;318,00;MME-PULMON;91000036;Precio Base General;;0010001154;17;01;X;20.02.2026 - 22:04:07;;;00120002;1200
ALIMENTOS POLAR COMERCIAL, C.A.;Manufactura;Fact. Nac. Ampo.;7000012167;Inyecto Soplado;Venta Directa;20260210;Zona Metropolitana;3000;ENVASE PET MAYONESA 200 ML;17,000;PAL;143616,000;PZA;1354,21;23021,64;3683,46;26705,10;Factura;Crédito 15 Días;20260225;USD;NA;;GV ClReg. Ampofr.;OFICINA AMPOFRASCA;00-056714;1202009401;Especias;Transparente;200 gr.;G;2764608,000;TO;2,765;Alimentos;AM-Especias;ENVASES PT;0,00000;02;2026;1354,21;23021,64;3683,46;26705,10;MME-PULMON;70000666;Precio Base General;;0010001154;17;01;X;20.02.2026 - 22:04:07;;;00120002;1200
ALIMENTOS POLAR COMERCIAL, C.A.;Manufactura;Fact. Nac. Ampo.;7000012168;Inyecto Soplado;Venta Directa;20260210;Zona Metropolitana;3000;ENVASE LIMPIEZA 500ml (P) 27,90g;8448,000;PZA;8448,000;PZA;0,20;1726,10;276,18;2002,28;Factura;Crédito 15 Días;20260225;USD;NA;;GV ClReg. Ampofr.;OFICINA AMPOFRASCA;00-056715;1202009405;Limpiadores;;;G;235699,200;TO;0,236;Alimentos;AM-Env. Plásticos;ENVASES PT;0,00000;02;2026;0,20;1726,10;276,18;2002,28;MME-PULMON;70000621;Precio Base General;;0010001154;17;01;X;20.02.2026 - 22:04:07;;;00120002;1200
ALIMENTOS POLAR COMERCIAL, C.A.;Manufactura;Fact. Nac. Ampo.;7000012169;Servicios;Venta Directa;20260210;Zona Metropolitana;;FLETE POR VIAJE CORTINERO;1,000;SER;1,000;SER;318,00;318,00;0,00;318,00;Factura;Crédito 15 Días;20260225;USD;NA;;GV ClReg. Ampofr.;OFICINA AMPOFRASCA;00-056716;1202009387;Servicios Administrat.;;;KG;0,000;TO;0,000;Alimentos;Fletes;FLETE PROD TERMINADO;0,00000;02;2026;318,00;318,00;0,00;318,00;MME-PULMON;91000036;Precio Base General;;0010001154;17;01;X;20.02.2026 - 22:04:07;;;00120002;1200
ALIMENTOS POLAR COMERCIAL, C.A.;Manufactura;Fact. Nac. Ampo.;7000012175;Inyecto Soplado;Venta Directa;20260212;Zona Metropolitana;3000;ENVASE PET MAYONESA 200 ML;23,000;PAL;194304,000;PZA;1354,21;31146,93;4983,51;36130,44;Factura;Crédito 15 Días;20260227;USD;NA;;GV ClReg. Ampofr.;OFICINA AMPOFRASCA;00-056726;1202009401;Especias;Transparente;200 gr.;G;3740352,000;TO;3,740;Alimentos;AM-Especias;ENVASES PT;0,00000;02;2026;1354,21;31146,93;4983,51;36130,44;MME-PULMON;70000666;Precio Base General;;0010001154;17;01;X;20.02.2026 - 22:04:07;;;00120002;1200
ALIMENTOS POLAR COMERCIAL, C.A.;Manufactura;Fact. Nac. Ampo.;7000012176;Servicios;Venta Directa;20260212;Zona Metropolitana;;FLETE POR VIAJE CORTINERO;1,000;SER;1,000;SER;318,00;318,00;0,00;318,00;Factura;Crédito 15 Días;20260227;USD;NA;;GV ClReg. Ampofr.;OFICINA AMPOFRASCA;00-056727;1202009387;Servicios Administrat.;;;KG;0,000;TO;0,000;Alimentos;Fletes;FLETE PROD TERMINADO;0,00000;02;2026;318,00;318,00;0,00;318,00;MME-PULMON;91000036;Precio Base General;;0010001154;17;01;X;20.02.2026 - 22:04:07;;;00120002;1200
